,Customer ID,Predicted CLV (BG-NBD),Predicted CLV (Pareto-NBD),Predicted CLV (MBG-NBD)
0,12347,7014.579586,6340.671671,6909.140055
1,12348,2493.275086,2226.373478,2503.404428
2,12349,3361.498805,3102.962914,3414.887123
3,12352,3132.24968,2789.553968,3063.426616
4,12353,550.2308443,487.1373302,600.9053222
5,12355,619.2024969,548.1367761,679.0455049
6,12356,6735.237745,6113.757016,6710.521071
7,12357,5097.501306,5009.870102,5547.935195
8,12358,2109.917413,1959.20416,2143.741551
9,12359,6885.944698,6167.616596,6790.746203
10,12360,3854.26212,3423.335684,3829.405691
11,12361,618.2596499,461.0520171,627.9870922
12,12362,4707.538953,4215.931427,4637.7419
13,12363,1020.790851,977.1318039,1103.816703
14,12364,3690.017645,3496.840014,3611.197255
15,12369,844.5984557,558.6223024,867.799558
16,12370,3311.981533,2980.44139,3328.407866
17,12371,2824.681493,2606.909248,2899.328347
18,12372,1833.808616,1706.291615,1896.249895
19,12373,710.9088222,543.2976081,742.3858095
20,12374,1536.730689,1458.947235,1609.714929
21,12375,2456.972502,2371.760522,2451.557185
22,12376,244.3708156,218.493532,262.6860281
23,12377,1457.849808,1024.883983,1460.660796
24,12378,2494.806374,2343.36237,2733.677068
25,12379,1676.151934,1492.187348,1690.206252
26,12380,5914.384081,5293.98783,5849.42829
27,12381,3608.042857,3354.063877,3451.431185
28,12383,1281.721028,1091.500534,1227.801835
29,12384,2196.593673,2124.847319,2211.870287
30,12386,335.1660103,310.7958821,362.6971345
31,12388,3748.62354,3380.003275,3721.855917
32,12389,817.7982593,549.7672356,843.6825867
33,12391,2095.721503,1910.437994,2107.59034
34,12393,3038.844303,2673.898094,2997.177111
35,12394,1865.407501,1822.107479,2008.230201
36,12395,4523.393394,4007.216724,4419.748608
37,12397,3093.636727,3083.832376,3283.552137
38,12399,1887.776797,1604.10564,1874.588918
39,12402,574.231762,339.6575492,534.4187969
40,12403,681.1756657,666.9736127,744.9316961
41,12406,4403.961263,3991.149614,4406.593485
42,12407,3267.021089,2986.747163,3239.741277
43,12408,5212.926258,4609.194563,5094.16444
44,12409,14926.65827,13000.07698,14747.14492
45,12410,773.7130231,587.7473591,799.9177307
46,12412,2457.097146,2145.24547,2425.402246
47,12413,1538.956853,1382.134202,1542.63648
48,12414,932.0543426,746.6154081,940.3446446
49,12415,155818.8549,136461.4953,150757.7849
50,12417,6076.422041,5388.878196,5937.401079
51,12418,1736.600461,1519.003582,1754.911355
52,12419,280.2027234,251.344667,301.3736391
53,12421,1751.84012,1585.061742,1741.958535
54,12422,3637.848826,3031.552357,3542.753351
55,12423,3529.315017,3164.161935,3458.204313
56,12424,2577.703238,2139.742814,2578.777916
57,12425,1188.342248,1096.732671,1239.290531
58,12426,726.2848524,625.368984,761.454109
59,12427,1369.131823,1258.199882,1372.401123
60,12428,6019.262347,5401.8862,5814.136883
61,12429,6214.436524,5637.952492,6191.128835
62,12431,9069.522481,7873.454588,8809.596971
63,12432,4123.25318,3941.13798,4201.351108
64,12433,22906.4065,20646.49283,22574.5268
65,12434,1645.285776,1464.04317,1645.045669
66,12435,9076.818216,8066.224053,9129.231256
67,12437,10839.06298,9586.92343,10564.05951
68,12438,4363.145008,4352.292558,4628.962873
69,12439,104.9358841,68.16383627,107.9785354
70,12440,340.8339111,214.2419855,350.2222272
71,12444,7900.023542,7351.60562,7734.098402
72,12445,779.6179131,738.0306936,811.9871017
73,12449,5189.5712,4710.549057,5174.525226
74,12450,1061.828757,853.1768641,1032.802263
75,12451,11011.99506,9901.083265,10874.34718
76,12454,3788.446743,3383.99389,3784.828937
77,12455,3757.834245,3271.263437,3710.022299
78,12456,4175.270138,3867.256129,4198.750519
79,12457,2998.050078,2615.225548,2912.893872
80,12458,1814.482894,1645.87125,1852.413047
81,12461,1282.450575,1281.736041,1374.714256
82,12462,1445.202518,1349.369951,1461.089415
83,12463,2810.676715,2564.307437,2750.732785
84,12464,2583.343021,2345.309013,2537.052348
85,12465,1849.611687,1771.903262,1881.673048
86,12468,3104.336854,2472.277321,3022.947094
87,12469,266.0681209,236.4600204,280.4501641
88,12471,34158.329,30082.91856,33181.76403
89,12472,15104.39429,13126.34335,14669.93767
90,12473,5548.483325,5146.895595,5450.972622
91,12474,11787.7521,10316.82427,11431.1819
92,12475,1048.114504,1020.969236,1142.170929
93,12476,15499.75669,13705.57996,15013.05684
94,12477,16908.73104,15044.98169,16629.87214
95,12480,5711.614541,5118.23161,5649.881281
96,12481,9478.496113,8380.604145,9266.440663
97,12482,489.7180514,309.6955005,436.0486668
98,12483,4770.35986,4212.120209,4657.484632
99,12484,5656.667741,4991.200828,5550.333841
100,12488,4262.2433,4138.968986,4211.559624
101,12490,8279.323268,7356.096058,8106.091609
102,12492,910.5572112,846.7168041,947.7228792
103,12493,742.1105628,848.6271393,772.7453667
104,12494,2157.906714,1919.30398,2111.341355
105,12497,4404.644782,3997.574143,4522.899169
106,12498,2379.738615,2416.559178,2451.369156
107,12500,5546.986873,4885.906531,5414.819186
108,12502,4634.827897,4137.762548,4600.168395
109,12504,822.887837,756.3615562,833.0416465
110,12507,1412.620452,1233.33812,1444.806974
111,12508,2873.928393,2991.653389,2908.46224
112,12510,2757.225374,2215.475951,2694.468813
113,12514,793.0901808,677.0840164,870.9612021
114,12516,1920.666748,1741.313484,1968.14695
