,Customer ID,frequency,recency,T,monetary_value
0,12346,10,400,725,-15.468
1,12347,7,402,404,717.3985714
2,12348,4,363,438,449.31
3,12349,4,717,735,1107.1725
4,12350,0,0,310,0
5,12351,0,0,375,0
6,12352,8,356,392,218.1825
7,12353,1,204,408,89
8,12354,0,0,232,0
9,12355,1,353,567,459.4
10,12356,5,402,424,1092.648
11,12357,1,355,388,6207.67
12,12358,4,730,731,614.31
13,12359,12,727,734,662.85
14,12360,7,603,655,584.9842857
15,12361,3,395,682,134.0166667
16,12362,13,735,738,396.5061538
17,12363,1,133,242,252.9
18,12364,3,105,112,229.7266667
19,12365,0,0,291,0
20,12366,0,0,633,0
21,12367,0,0,4,0
22,12368,0,0,628,0
23,12369,2,228,641,721.415
24,12370,5,617,668,751.47
25,12371,3,601,645,1153.233333
26,12372,2,225,296,449.41
27,12373,2,362,673,344.875
28,12374,2,563,588,800.34
29,12375,2,96,98,112.56
30,12376,1,28,417,70.6
31,12377,3,274,589,738.4533333
32,12378,1,433,562,4008.62
33,12379,4,453,534,312.6975
34,12380,9,641,662,708.8166667
35,12381,5,115,119,107.044
36,12382,0,0,682,0
37,12383,5,168,352,247.718
38,12384,2,93,121,136.735
39,12385,0,0,379,0
40,12386,1,29,366,143
41,12387,0,0,415,0
42,12388,7,567,582,491.3557143
43,12389,2,253,655,634.24
44,12390,0,0,79,0
45,12391,5,641,662,407.086
46,12392,0,0,591,0
47,12393,6,356,428,345.4916667
48,12394,1,154,217,891.4
49,12395,16,587,602,245.0925
50,12396,0,0,674,0
51,12397,1,100,135,1195.09
52,12398,0,0,45,0
53,12399,6,525,644,292.72
54,12400,0,0,414,0
55,12401,0,0,303,0
56,12402,6,347,670,175.4083333
57,12403,1,472,521,409.7
58,12404,0,0,682,0
59,12405,0,0,148,0
60,12406,6,675,697,865.1683333
61,12407,4,215,264,370.455
62,12408,11,466,498,371.4127273
63,12409,7,487,565,2326.855714
64,12410,2,201,502,340.54
65,12411,0,0,409,0
66,12412,7,465,539,272.8785714
67,12413,4,336,402,173.5375
68,12414,3,246,463,187.47
69,12415,24,503,527,5872.60625
70,12416,0,0,656,0
71,12417,26,730,733,246.1196154
72,12418,4,518,630,418.2525
73,12419,1,28,413,180.1
74,12420,0,0,63,0
75,12421,6,490,505,169.1716667
76,12422,13,626,721,311.1038462
77,12423,10,465,465,231.339
78,12424,5,570,732,662.156
79,12425,2,370,448,358.3
80,12426,2,468,662,274.465
81,12427,4,360,371,101.2175
82,12428,9,258,283,323.1088889
83,12429,6,537,546,1004.691667
84,12430,0,0,43,0
85,12431,28,658,693,342.8264286
86,12432,2,130,172,871.33
87,12433,8,476,476,2553.6075
88,12434,4,297,381,191.2975
89,12435,5,658,737,2583.586
90,12436,0,0,99,0
91,12437,39,736,737,302.9889744
92,12438,1,126,140,2016.78
93,12439,1,43,725,76.52
94,12440,2,260,717,99.82
95,12441,0,0,366,0
96,12442,0,0,3,0
97,12443,0,0,732,0
98,12444,4,150,171,783.815
99,12445,2,398,420,62.45
100,12446,0,0,57,0
101,12447,0,0,243,0
102,12448,0,0,44,0
103,12449,5,416,438,831.458
104,12450,6,318,474,86.42166667
105,12451,8,519,529,1299.4075
106,12452,0,0,16,0
107,12453,0,0,134,0
108,12454,6,629,682,719.8266667
109,12455,9,648,721,471.5022222
110,12456,3,210,254,737.9066667
111,12457,10,377,435,183.963
112,12458,3,416,487,465.6266667
113,12459,0,0,605,0
114,12460,0,0,456,0
115,12461,1,60,154,200
116,12462,3,301,303,120.6333333
117,12463,5,195,241,191.812
118,12464,6,299,309,166.3583333
119,12465,2,162,169,146.475
120,12466,0,0,682,0
121,12467,1,37,423,-132.8
122,12468,9,546,689,403.3488889
123,12469,1,14,536,1113.7
124,12470,0,0,689,0
125,12471,90,735,737,421.8778889
126,12472,36,700,730,472.7075
127,12473,4,162,191,553.01
128,12474,45,649,666,262.3944444
129,12475,1,356,409,723.38
130,12476,25,500,501,499.3552
131,12477,11,601,623,1650.219091
132,12478,0,0,3,0
133,12479,2,8,11,-24.95
134,12480,7,479,507,711.8857143
135,12481,15,585,607,616.4953333
136,12482,6,204,653,2575.961667
137,12483,21,660,677,218.3414286
138,12484,15,704,736,420.48
139,12485,0,0,529,0
140,12486,0,0,431,0
141,12487,0,0,730,0
142,12488,2,66,75,372.635
143,12489,0,0,336,0
144,12490,21,733,738,438.7952381
145,12491,0,0,38,0
146,12492,2,340,403,131.605
147,12493,2,32,197,92.145
148,12494,14,567,576,99.90357143
149,12495,1,6,640,-34
150,12496,0,0,620,0
151,12497,3,601,682,2082.833333
152,12498,1,36,57,156.45
153,12499,0,0,560,0
154,12500,20,650,673,273.544
155,12501,1,21,336,-79.71
156,12502,4,214,309,776.655
157,12503,1,247,584,-1126
158,12504,4,578,596,69.15
159,12505,2,107,408,-23.6
160,12506,0,0,232,0
161,12507,3,450,584,419.3533333
162,12508,1,3,29,123.08
163,12509,0,0,284,0
164,12510,9,593,735,364.6055556
165,12511,1,14,428,-18.25
166,12512,0,0,66,0
167,12513,1,28,112,-25.5
168,12514,1,374,641,1017.68
169,12515,0,0,353,0
170,12516,3,522,599,653.0533333
171,12517,3,162,190,565.98
172,12518,4,110,110,433.015
173,12519,2,413,476,154.745
174,12520,5,194,273,319.018
175,12521,0,0,142,0
176,12522,1,12,51,103.32
177,12523,29,736,737,146.5448276
178,12524,16,660,669,658.27875
179,12525,6,244,735,146.8216667
180,12526,2,94,94,398.18
181,12527,4,448,529,108.4275
182,12528,7,303,312,204.1071429
183,12529,1,6,528,-4.7
184,12530,10,583,642,333.286
185,12531,2,672,686,45.535
186,12532,0,0,30,0
187,12533,4,120,738,55.0175
188,12534,0,0,130,0
189,12535,1,95,186,344.9
190,12536,2,52,59,-86.445
191,12537,0,0,408,0
192,12538,1,349,378,363.95
193,12539,5,694,716,869.968
194,12540,32,713,732,677.9590625
195,12541,2,251,280,334.39
196,12542,3,156,640,19.53
197,12543,0,0,448,0
198,12544,1,7,36,-17
199,12545,1,184,259,372.24
200,12546,2,31,77,190.65
201,12547,2,303,500,103.9
202,12548,0,0,166,0
203,12549,4,122,697,254.315
204,12550,0,0,79,0
205,12551,0,0,357,0
206,12552,1,1,39,120
207,12553,15,415,423,267.3886667
208,12554,0,0,448,0
